,0,1,InspName,InspAddress
0,Ipsento,2035 N Western Ave,IPSENTO,2035 N WESTERN AVE 
1,7-Eleven,600 N Mcclurg Ct,7- ELEVEN,600 N MCCLURG CT 
2,Chicago by Night,5600 W Belmont Ave,CHICAGO BY NIGHT,5600 W BELMONT AVE 
3,Grace's African Restaurant,4409 N Broadway St,GRACE AFRICAN RESTAURANT,4409 N BROADWAY 
4,Furious Spoon Pilsen,1316 W 18th St,FURIOUS SPOON,1316 W 18TH ST 
5,En Passant,3010 W Diversey Ave,EN PASSANT,3010 W DIVERSEY AVE 
6,Beaubien Elem Jean Baptiste,5025 N Laramie Ave,Beaubien Elementary School,5025 N Laramie (5200W) 
7,Uncommon Ground,3800 N Clark St,UNCOMMON GROUND,3800 N CLARK ST 
8,The Drake,140 E Walton Pl,THE DRAKE HOTEL,140 E WALTON PL 
9,Third Rail Tavern,1133 W Madison St,THIRD RAIL TAVERN,1133 W MADISON ST 
10,Max's Take Out,20 E Adams St,MAX'S TAKE OUT,20 E ADAMS ST 
11,Saigon Pho,3222 W Bryn Mawr Ave,SAIGON PHO,3220-3222 W BRYN MAWR AVE 
12,Gogi,6240 N California Ave,GOGI NARA,6240 N CALIFORNIA AVE 
13,Subway,4242 S Wentworth Ave,SUBWAY,4242 S WENTWORTH AVE 
14,Subway,236 S State St,Subway,236 S State ST 
15,Royalty East Banquet Hall,3810 W 63rd St,ROYALTY,3810 W 63RD ST 
16,Arya Bhavan,2508 W Devon Ave,ARYA BHAVAN,2508 W DEVON AVE 
17,Rosati's Pizza,23 E Adams St,ROSATI'S GRANT PARK,23 E ADAMS ST 
18,Butterdough,3452 S Western Ave,BUTTERDOUGH,3452 S WESTERN AVE 
19,Pret A Manger,225 S Canal St,PRET A MANAGER,225 S CANAL ST 
20,Summer,1123 W Granville Ave,SUMMER,1123 W GRANVILLE AVE 
21,M & M Food Mart /cricket Wireless,7073 N Western Ave,M & M FOOD,7073 N WESTERN AVE 
22,Dayglow,1757 N Kimball Ave,DAYGLOW,1757 N KIMBALL AVE 
23,Subway,4406 S Pulaski Rd,SUBWAY,4406 S PULASKI RD 
24,Subway,211 W Adams St,SUBWAY #44541,211 W ADAMS ST 
25,Trattoria Ultimo,1953 W Chicago Ave,TRATTORIA ULTIMO,1953 W CHICAGO AVE 
26,Miss Saigon Restaurant,1129 W Argyle St,MISS SAIGON,1129 W ARGYLE ST 
27,Graze,2401 N Halsted St,GRAZE,2401 N HALSTED ST 
28,Bian Wellness Center,600 W Chicago Ave,BIAN,600 W CHICAGO AVE 
29,Black Dog Gelato,859 N Damen Ave,BLACK DOG GELATO,859 N DAMEN AVE 
30,Nando's Peri-Peri,670 W Diversey Pkwy,NANDO'S PERI-PERI,670 W DIVERSEY PKWY 
31,Atomix,1957 W Chicago Ave,ATOMIX CAFE,1957 W CHICAGO AVE 
32,Rhapsody on Argyle,1002 W Argyle St,RHAPSODY,1002 W ARGYLE ST 
33,Tortazo,233 S Wacker Dr,TORTAZO WILLIS,233 S WACKER DR 
34,CVS Pharmacy,8639 S Cicero Ave,CVS/PHARMACY #2846,8639 S CICERO AVE 
35,The Angry Crab,1308 N Milwaukee Ave,ANGRY CRAB,1308 N MILWAUKEE 
36,Nipsey's Restaurant & Lounge,9156 S Stony Island Ave,NIPSEY'S,9156 S STONY ISLAND AVE 
37,Rice & Noodles,2018 S Blue Island Ave,RICE AND NOODLES,2018 S BLUE ISLAND AVE 
38,John Hancock High School,4034 W 56th St,Hancock (H/S),4034 W 56TH ST 
39,Las Palmas,1835 W North Ave,LAS PALMAS,1835 W NORTH AVE 
40,A.N. Pritzker School,2009 W Schiller St,Pritzker,2009 W Schiller ST 
41,Dinner And A Movie,2500 N Ashland Ave,DINNER AND A MOVIE,2500 N ASHLAND AVE 
42,High Noon Saloon,1560 N Milwaukee Ave,HIGH NOON SALOON,1560 N MILWAUKEE AVE 
43,Ping Pong,3322 N Broadway St,PING PONG RESTAURANT transferred swc permits to 259039-1,3322 N BROADWAY 
44,Baskin-Robbins,1231 S Wabash Ave,BASKIN ROBBINS,1231 S WABASH AVE 
45,Home of the Hoagy,1316 W 111th St,"HOME OF THE HOAGY,INC",1316 W 111TH ST 
46,My Buddy's,4416 N Clark St,MY BUDDY'S,4416 N CLARK ST 
47,Uni Sushi,1752 W North Ave,Uni Sushi Bristo,1752 W NORTH AVE 
48,Kiki's Bistro,900 N Franklin St,KIKI'S BISTRO,900 N FRANKLIN ST 
49,T'oui Macaron and Patisserie,5018 N Broadway,T'OUI MACARON AND PATISSERIE,5018 N BROADWAY 
50,Dollar Tree,4225 W Armitage Ave,DOLLAR TREE #06214,4225 W ARMITAGE AVE 
51,Joy District,112 Hubbard St,JOY DISTRICT,112-114 W HUBBARD ST 
52,White Castle,2140 S Wabash Ave,WHITE CASTLE #63,2140 S WABASH AVE 
53,Budweiser Brickhouse Tavern,3647 N Clark St,BRICKHOUSE TAVERN,3647 N CLARK ST 
54,La Palma Puerto Rican Restaurant,1340 N Homan Ave,LA PALMA RESTAURANT,1340 N HOMAN AVE 
55,Jack's Hot Dogs,3577 W Armitage Ave,JACK 'S HOT DOG,3577 W ARMITAGE AVE 
56,Dan’s Hot Dogs,9314 S Ashland Ave,DAN'S HOT DOG STAND,9314 S ASHLAND AVE 
57,Vegetarian Express,4747 N Damen Ave,VEGETARIAN EXPRESS,4747 N DAMEN AVE 
58,Subway,1525 W Madison Ave,SUBWAY,1525 W MADISON ST 
59,Café Orchid,1746 W Addison St,CAFE ORCHID,1746 W ADDISON ST 
60,Purple Llama,2140 W Division St,PURPLE LLAMA COFFEE AND RECORDS,2140 W DIVISION ST 
61,Azucar,3617 W 27th St,"AZUCAR, NIEVES AND CAFE CORPORATION",3617 W 27TH ST 
62,Cinnaholic,1295 N Milwaukee Ave,CINNAHOLIC CHICAGO,1295 N MILWAUKEE 
63,CVS Pharmacy,1211 West Roosevelt Rd,CVS/PHARMACY # 4793,1211 W ROOSEVELT 
64,Angelo's Wine Bar,3026 W Montrose Ave,ANGELO'S WINE BAR,3024-3026 W MONTROSE AVE 
65,Fin Sushi Bar,1742 W Wilson Ave,FIN SUSHI BAR,1742 W WILSON AVE 
66,Joe's Imports,813 W Fulton Market,JOE'S IMPORTS,813 W FULTON MARKET 
67,Los Azares Mexican Grill,7148 N Harlem Ave,LOS AZARES MEXICAN GRILL LLC,7148 N HARLEM AVE 
68,The Swill Inn,415 N Milwaukee Ave,SWIG,1469 N MILWAUKEE AVE 
69,Kiko's Market & Restaurant,5077 N Lincoln Ave,BEL-AMI RESTAURANT,5530 N LINCOLN AVE 
70,Turkish Cafe,2621 W Lawrence Ave,"TURKISH CAFE RESTAURANT, INC.",2621 W LAWRENCE AVE 
71,Chris's Billiards,4637 N Milwaukee Ave,CHRIS'S BILLIARDS INC.,4637 N MILWAUKEE AVE 
72,Hyatt House Chicago - Medical / University District,1835 W Harrison St,CITGO,3353-3359 W HARRISON ST 
73,Brick's Sports Bar & Grill,4422 W Madison St,BRICKS SPORTS BAR & GRILL,4422 W MADISON ST 
74,Lincoln Park Pizza,2245 N Lincoln Ave,LINCOLN PARK PIZZA,2245 N LINCOLN AVE 
75,Tostini,1622 W Morse Ave,TOSTINI,1622 W MORSE AVE 
76,Rice Thai Cafe,6744 N Sheridan Rd,RICE THAI CAFE,6744 N SHERIDAN RD 
77,What Up Dog,4501 W Lawrence Ave,WHAT UP DOG,4501 W LAWRENCE AVE 
78,Family Dollar,2700 W Division St,FAMILY DOLLAR #2668,2700 W DIVISION ST 
79,Chipotle Mexican Grill,5224 N Broadway St,CHIPOTLE,5224 N BROADWAY 
80,Domino's Pizza,5016 S Pulaski Rd,DOMINO'S PIZZA,5016 S PULASKI RD 
81,The Laundry Bag,2 E 103rd St,"THE LAUNDRY BAG, INC.",2 E 103RD ST 
82,Arbor,2545 W Diversey Ave,ARBOR,2545 W DIVERSEY AVE 
83,La Gondola,2914 N Ashland Ave,LA GONDOLA,2914 N ASHLAND AVE 
84,Testaccio,2456 N California Ave,TESTACCIO,2456 N CALIFORNIA AVE 
85,Freshii,17 E Monroe St,FRESHII RESTAURANT,17 E MONROE ST 
86,Starbucks,3358 N Broadway,STARBUCKS COFFEE #227,3358 N BROADWAY 
87,Walgreens,4385 S Archer Ave,Walgreens #5926,4385 S ARCHER AVE 
88,Chocolate City Coffee Palace & Bodega,2015 W Grand Ave,CHOCOLATE CITY,2015 W GRAND AVE 
89,Nobu Chicago,854 W Randolph St,NOBU,854 W RANDOLPH ST 
90,Eleven | Eleven,1111 W Lake St,ELEVEN ELEVEN,1111-1113 W LAKE ST 
91,House of Cakes,6189 N Canfield Ave,HOUSE OF CAKES,6189 N CANFIELD AVE 
92,Walgreens,2817 N Clark St,WALGREENS #15281,2817 N CLARK ST 
93,TAO Chicago Nightclub,632 N Dearborn St,TAO CHICAGO,632 N DEARBORN ST 
94,Chicago Raw,131 N Clinton St,RAW,131 N CLINTON ST 
95,Ciales Poultry Store,2141 W Armitage Ave,CIALES POULTRY MEATS & FISH,2141 W ARMITAGE AVE 
96,Upton's Breakroom,2054 W Grand Ave,CAPO'S,1147 W GRAND AVE 
