,Neighborhood
0,Bucktown
1,Streeterville
2,Portage Park
3,Uptown
4,Lower West Side
5,Avondale
6,Jefferson Park
7,Wrigleyville
8,Streeterville
9,Streeterville
10,West Loop
11,Chicago Loop
12,North Park
13,West Ridge
14,Fuller Park
15,Chicago Loop
16,West Lawn
17,Little India
18,Chicago Loop
19,McKinley Park
20,West Loop
21,Edgewater
22,West Ridge
23,Humboldt Park
24,Archer Heights
25,Chicago Loop
26,West Town
27,Uptown
28,Lincoln Park
29,Goose Island
30,Rush & Division
31,West Town
32,Lake View East
33,West Town
34,Uptown
35,Chicago Loop
36,Scottsdale
37,West Town
38,Calumet Heights
39,Lower West Side
40,West Elsdon
41,West Town
42,West Town
43,Lincoln Park
44,West Town
45,Lake View East
46,Near South Side
47,South Side
48,Ravenswood
49,West Town
50,West Town
51,Near North
52,Uptown
53,Hermosa
54,River North
55,Near South Side
56,Lake View East
57,Humboldt Park
58,Logan Square
59,Washington Heights
60,Lincoln Square
61,West Loop
62,Lake View
63,West Town
64,South Lawndale
65,West Town
66,Little Italy
67,East Albany Park
68,Ravenswood
69,Fulton Market
70,Fulton Market
71,West Town
72,Logan Square
73,West Town
74,Lincoln Square
75,Lincoln Square
76,Lincoln Square
77,Portage Park
78,Near West Side
79,Garfield Park
80,Garfield Park
81,Lincoln Park
82,Sheffield & DePaul
83,Rogers Park
84,Rogers Park
85,Irving Park
86,West Town
87,Edgewater
88,Archer Heights
89,Roseland
90,Logan Square
91,Lake View
92,Logan Square
93,Chicago Loop
94,Lake View East
95,Brighton Park
96,West Town
97,Fulton Market
98,West Loop
99,Norwood Park
100,Lake View East
101,River North
102,River North
103,River North
104,West Loop
105,Bucktown
106,West Town
107,West Town
108,Beverly
109,West Elsdon
110,Brighton Park
111,Chicago Loop
112,Lake View East
113,Washington Heights
114,West Ridge
115,Irving Park
116,Back of the Yards
117,North Park
118,River North
119,Chicago Loop
120,East Hyde Park
121,North Center
122,Goose Island
123,Englewood
124,Near North
125,Lake View East
126,Forest Glen
127,Belmont Central
128,Lake View East
129,West Town
130,Garfield Park
131,Chicago Loop
132,Near West Side
133,Lincoln Park
134,West Loop
135,Near South Side
136,West Town
137,River North
138,Ravenswood
139,Mount Greenwood
140,Mount Greenwood
141,Hyde Park
142,Chicago Loop
143,Little India
144,Near North Side
145,Austin
146,Beverly
147,South Side
148,Park Manor
149,Archer Heights
150,Lincoln Park
151,Garfield Park
152,West Town
153,West Loop
154,Lincoln Square
155,West Ridge
156,Old Town Triangle
157,River North
158,Albany Park
159,Lake View East
160,Hyde Park
161,Calumet Heights
162,Uptown
163,River North
164,West Town
165,Little Italy
166,Little Italy
167,Hermosa
168,Logan Square
169,Belmont Cragin
170,Lake View East
171,Lake View East
172,Austin
173,River North
174,Calumet Heights
175,River North
176,Beverly
177,River North
178,Avondale
179,Rogers Park
180,Bucktown
181,Lincoln Square
182,North Center
183,Lower West Side
184,Rush & Division
185,Sheffield & DePaul
186,Chicago Loop
187,River North
188,Albany Park
189,Chicago Loop
190,North Center
191,Chicago Lawn
192,Edgewater
193,O'Hare
194,Edgewater
195,Lake View East
196,Lincoln Park
197,Lincoln Park
198,Wrigleyville
199,Bronzeville
200,Armour Square
201,South Deering
202,West Town
203,Streeterville
204,Austin
205,Streeterville
206,Near South Side
207,Tri-Taylor
208,Little Italy
209,Portage Park
210,West Loop
211,Edgewater
212,Uptown
213,River North
214,Uptown
215,Chicago Loop
216,Near West Side
217,Streeterville
218,Near North Side
219,West Town
220,Chicago Loop
221,Chicago Loop
222,Streeterville
223,Near North Side
224,Bucktown
225,Brighton Park
226,Armour Square
227,McKinley Park
228,Chicago Loop
229,Chicago Loop
230,Auburn Gresham
231,Streeterville
232,River North
233,Lake View
234,West Loop
235,Grand Crossing
236,North Center
237,River North
238,Lincoln Square
239,Bridgeport
240,Lake View East
241,Streeterville
242,Magnolia Glen
243,Chicago Loop
244,Edgewater
245,West Town
246,North Park
247,Lake View
248,Austin
249,West Loop
250,Chicago Loop
251,Magnolia Glen
252,Bridgeport
253,Archer Heights
254,Lincoln Park
255,Lincoln Park
256,Garfield Ridge
257,Portage Park
258,Lake View East
259,Goose Island
260,Lincoln Square
261,Portage Park
262,Lake View East
263,Chicago Loop
264,Back of the Yards
265,Lower West Side
266,Lower West Side
267,Marshall Square
268,Lincoln Square
269,Chicago Loop
270,Washington Park
271,Lincoln Square
272,Brighton Park
273,Portage Park
274,River North
275,Lake View East
276,South Side
277,North Lawndale
278,Lake View East
279,Brighton Park
280,Bucktown
281,Rogers Park
282,West Town
